time_s,Cmax,Cmean,Csurface,Tcenter,Tsurface
0.0,2.55,2.550000000000002,2.55,28.0,28.0
60.0,2.55,2.5394069130096715,2.0794431956451973,28.000000000001243,28.07484382115394
120.0,2.55,2.52989778292235,1.9230142614942034,28.000000321101975,28.223856702704197
180.0,2.55,2.520989980265904,1.8158456140686785,28.000032394884077,28.39404171844946
240.0,2.55,2.5125190133387094,1.7331983145274041,28.000404367777694,28.558463558622496
300.0,2.55,2.5043927313391743,1.6661231972505608,28.002086453178197,28.788563109644855
360.0,2.55,2.4965488798019764,1.609831080651428,28.00666995296818,29.020529887356172
420.0,2.55,2.488944474825463,1.561350755013875,28.015909855254346,29.260329054958497
480.0,2.55,2.481547247171508,1.5187867591027426,28.031497647059492,29.47968754684498
540.0,2.55,2.474332450546978,1.4811008032465072,28.055064684127785,29.7325535416835
600.0,2.55,2.4672787554703053,1.447498415151827,28.087986196181426,29.993637400896347
660.0,2.55,2.4603683017697793,1.41735945594641,28.13120061106206,30.28899034508439
720.0,2.55,2.4535857021983007,1.3900491435608757,28.185261113100665,30.568611619494586
780.0,2.55,2.4469192514603275,1.3651258388990217,28.25057607419631,30.859519865906066
840.0,2.5500000000000003,2.4403587572198613,1.3422434024314782,28.327545053245434,31.133741659718993
900.0,2.55,2.4338956695217804,1.3210589512074182,28.416520491514596,31.40361014585465
960.0,2.55,2.427521304675684,1.301548196998036,28.517660265602792,31.702986090620282
1020.0,2.55,2.4212280942915254,1.283422193668916,28.630868917763998,31.976789727271132
1080.0,2.55,2.4150107072274154,1.2667327102190271,28.75578775657794,32.300949186068905
1140.0,2.55,2.4088619301782033,1.2512778003632472,28.89198339819077,32.609274374421965
1200.0,2.55,2.4027769361127604,1.2368414496118585,29.039044111972565,32.91950850514838
1260.0,2.55,2.3967510658202063,1.2232200113168505,29.19665395698072,33.20484068684741
1320.0,2.55,2.390779967088289,1.2105324869308605,29.3646517667949,33.53241341006229
1380.0,2.5500000000000003,2.384859773934953,1.1987518960154424,29.542818996484712,33.849648516227916
1440.0,2.55,2.3789866377785547,1.1875583806992318,29.73075454108404,34.1520529629646
1500.0,2.55,2.3731575662191045,1.1768196353420193,29.928029161904345,34.41872827408774
1560.0,2.55,2.367370845136521,1.1666538599261433,30.134330707768306,34.714154890116156
1620.0,2.55,2.3616233912267632,1.157006781654111,30.34923668462081,34.986582960687265
1680.0,2.55,2.3559132045662206,1.1478269559844991,30.572018188141058,35.27165926530377
1740.0,2.55,2.350237523403282,1.1393127940014045,30.801811200370455,35.59476067519233
1800.0,2.55,2.344593332206762,1.1313448877967158,31.037819065015146,35.90980850091618
1860.0,2.55,2.338980925598951,1.123703326566969,31.279164208044513,36.22770049961971
1920.0,2.5500000000000003,2.333401739005917,1.116229672468642,31.525322920121805,36.49235634099464
1980.0,2.55,2.3278554176801984,1.1089473393944096,31.776282409389825,36.765329366917356
2040.0,2.55,2.322339748486282,1.1020089600227927,32.03201361041354,37.05139291510543
2100.0,2.55,2.316853080276308,1.095304161104019,32.292126533187094,37.315214985085625
2160.0,2.55,2.31139488715647,1.0888153525380322,32.55589877036963,37.577051909706775
2220.0,2.55,2.3059641227255585,1.0826932972146681,32.82266453513713,37.86658971742301
2280.0,2.55,2.3005588699405553,1.0768038425207158,33.09183660721204,38.13060140072719
2340.0,2.549999999999999,2.295177139915488,1.0711535903872555,33.36285401455558,38.42248107827951
2400.0,2.549999999999996,2.2898175821108695,1.0657406384333965,33.635369488525626,38.68795440521506
2460.0,2.549999999999988,2.2844800800925626,1.060564997741151,33.90919432143633,38.97521638592565
2520.0,2.549999999999964,2.2791631146860705,1.0555963172970855,34.18422914316804,39.24247782581188
2580.0,2.549999999999901,2.2738664638082176,1.050657123096451,34.4604052808196,39.47326346963116
2640.0,2.5499999999997485,2.2685895993018126,1.0459268096813903,34.7376436030755,39.7473173143106
2700.0,2.5499999999993888,2.263330390818969,1.0414162559401485,35.01578991037506,40.010780170818286
2760.0,2.5499999999985756,2.258088808615179,1.0369233057118317,35.294405343835614,40.23151918069779
2820.0,2.5499999999968006,2.2528653967547743,1.0324618375872283,35.57309979572463,40.449252455131415
2880.0,2.549999999993051,2.2476587976865705,1.0281990122965066,35.851683617813215,40.70247589513944
2940.0,2.549999999985386,2.242468624730943,1.0240235064498324,36.129744883540944,40.90587410312999
3000.0,2.5499999999701712,2.237294612934711,1.0198277007380712,36.40666956751137,41.11631330566378
3060.0,2.5499999999408183,2.2321365615654303,1.015761705549289,36.682065618227874,41.317003153852276
3120.0,2.5499999998856917,2.2269936273067374,1.01192068816715,36.955588412046616,41.579035008467656
3180.0,2.5499999997847556,2.221864160381036,1.008307696042592,37.226774373346714,41.813614601820866
3240.0,2.54999999960436,2.216748626528404,1.0047262433100956,37.495300423185405,42.03490250348492
3300.0,2.54999999928926,2.2116460184907902,1.0012256935600001,37.761355799098446,42.25551884945048
3360.0,2.549999998750746,2.2065558234551865,0.9977038073846556,38.02540720837413,42.443165506827725
3420.0,2.5499999978492345,2.2014780964484197,0.9942094642561555,38.28768346687219,42.640660637758785
3480.0,2.5499999963694213,2.1964126193907387,0.9906974851781547,38.54814776891682,42.80432345929429
3540.0,2.549999993985362,2.191359874862239,0.9871803207543681,38.806471077436726,42.972015840160815
3600.0,2.549999990212408,2.1863187987375503,0.9838416100777567,39.062169151357686,43.189396308999804
3660.0,2.5499999843406145,2.1812880435233177,0.9806518252463468,39.31471068652314,43.37656203104112
3720.0,2.5499999753467084,2.17626747020108,0.977493787305135,39.563651966592175,43.5615089411352
3780.0,2.549999961781083,2.1712565637805445,0.9744601101824719,39.809049074488655,43.757461804510314
3840.0,2.5499999416189874,2.1662544060471465,0.9714420806472289,40.05120926648206,43.93200193136196
3900.0,2.549999912071461,2.1612606187321597,0.9684068417651829,40.290321133070336,44.094500388325585
3960.0,2.5499998693488184,2.1562758804828293,0.9654144149493096,40.52655410314079,44.25693138056062
4020.0,2.5499998083670845,2.1512997352395224,0.9623836081897518,40.75993160715791,44.39696129170242
4080.0,2.549999722389758,2.1463321077859625,0.9592838761356652,40.990242960837975,44.518696446955374
4140.0,2.549999602598404,2.1413738463349907,0.9563068709138905,41.21717953919337,44.68282589957333
4200.0,2.5499994375802024,2.1364242361722114,0.9533902671262929,41.44029404849666,44.82325162124976
4260.0,2.5499992127311892,2.131482663670756,0.9504922743035688,41.65907272559283,44.97528098349205
4320.0,2.5499989095633535,2.1265488050565455,0.9477672593916368,41.873398291106184,45.15853942808553
4380.0,2.549998504906996,2.1216223157924827,0.9449863075516354,42.08342971815772,45.27294064555956
4440.0,2.5499979700048145,2.1167038193523102,0.9420677948739866,42.28947847608598,45.37498300230817
4500.0,2.549997269488028,2.11179354046552,0.939219961980337,42.49206090144367,45.50783248701347
4560.0,2.5499963602400544,2.106891352531394,0.9364615149701867,42.691168130044744,45.63946230704735
4620.0,2.5499951901746662,2.101996315164167,0.9337811157107575,42.8862588452487,45.79488007915952
4680.0,2.549993696913209,2.0971083485150253,0.9311787788706696,43.07707803445189,45.928035005411026
4740.0,2.5499918063385705,2.092227748177083,0.9286005883309265,43.26383366033539,46.07042149104353
4800.0,2.549989431029121,2.087352955127213,0.9260079007919766,43.447046175981065,46.193620975223865
4860.0,2.549986468588702,2.0824841574159256,0.9233362500558069,43.62717650893252,46.28986752839446
4920.0,2.5499827999082174,2.0776223254469395,0.9207419220691313,43.804500238994315,46.42433803325629
4980.0,2.5499782873757173,2.072767616784503,0.9181049747089621,43.97899279107077,46.49740772080296
5040.0,2.549972773098897,2.067920362355857,0.9153274497197939,44.150324586673065,46.56525904108125
5100.0,2.5499660771054327,2.063080562644612,0.9125887670061361,44.31828705543148,46.65350975830075
5160.0,2.549957995568325,2.0582475935540243,0.9100146897886521,44.48236744926725,46.79684897030914
