question,scenario,crossing_h,change_pct
3,nominal,57.47276679583943,0.0
3,last,57.16984210559125,-0.5270751821019215
3,mean,57.47446412675726,0.0029532785916774884
3,T_minus_0.5,58.39591594779075,1.6062375337359658
3,T_plus_0.5,56.57002335343962,-1.570732527297014
3,Ce_minus_0.001,57.453210451289586,-0.03402714997055023
3,Ce_plus_0.001,57.49307368782316,0.03533306836587258
3,hm_minus_10pct,58.20863535168632,1.280377815219702
3,hm_plus_10pct,56.89542364530998,-1.0045508207049525
4,nominal,51.090831818758005,0.0
4,last,50.824460026544024,-0.52136906511705
4,mean,51.09226044720865,0.0027962520863011875
4,T_minus_0.5,51.90042145188135,1.5846084401117455
4,T_plus_0.5,50.29891139630124,-1.5500245235115062
4,Ce_minus_0.001,51.069114319725365,-0.04250762467459257
4,Ce_plus_0.001,51.1136900765597,0.04474042991271521
4,hm_minus_10pct,51.382011476909454,0.5699254597858028
4,hm_plus_10pct,50.869960892543,-0.43231029590306
4,fixed_R_appendix4,129.84489006373258,154.14518699627044
