kind,n,graded,rtol,atol,max_step_s,accepted_steps,actual_max_step_s,continuum_max_error,temporal_max_error,mass_drift_max,initial_mean_quadrature_error,numerical_center_final,exact_center_final,mutant,nfev
space,40,True,1e-11,9.999999999999999e-14,14.0625,298,14.062500000000227,0.00020512441054343356,,3.3306690738754696e-16,-4.138605514458771e-05,1.021403085261914,1.0213494880203131,False,651
space,80,True,1e-11,9.999999999999999e-14,14.0625,290,14.0625,5.170591872372121e-05,,4.440892098500626e-16,-1.0328582415453091e-05,1.021362949081309,1.0213494880203131,False,655
space,160,True,1e-11,9.999999999999999e-14,14.0625,284,14.062500000000057,1.295920428190378e-05,,3.3306690738754696e-16,-2.581025854486718e-06,1.0213528580167255,1.0213494880203131,False,650
space,320,True,1e-11,9.999999999999999e-14,14.0625,280,14.062500000000014,3.2422702758161392e-06,,5.551115123125783e-16,-6.451864942302876e-07,1.0213503308759604,1.0213494880203131,False,636
space,640,True,1e-11,9.999999999999999e-14,14.0625,277,14.062500000000028,8.107531372925081e-07,,6.661338147750939e-16,-1.6129225077765597e-07,1.0213496987610517,1.0213494880203131,False,634
time,160,False,0.001,1e-05,450.0,14,450.0,0.0016056831031172614,0.0016003845471841416,2.220446049250313e-16,1.369839179643506e-06,1.0216101378173046,1.0213494880203131,False,30
time,160,False,1e-05,1.0000000000000001e-07,225.0,25,225.0,2.8218234394472574e-05,2.5622356919274836e-05,2.220446049250313e-16,1.369839179643506e-06,1.0213513712675626,1.0213494880203131,False,55
time,160,False,1e-07,1e-09,112.5,47,112.50000000000023,6.377968523541e-06,2.659449338526798e-07,2.220446049250313e-16,1.369839179643506e-06,1.0213535012949688,1.0213494880203131,False,103
mutant,640,True,1e-11,9.999999999999999e-14,14.0625,277,14.062500000000028,0.058681454906150066,,4.440892098500626e-16,-1.6129225077765597e-07,1.0800309429264632,1.0213494880203131,True,556
