question,coarse_n,fine_n,temperature_max_difference,moisture_max_difference,event_relative_difference,sampled_times,passed
1,160,320,2.252552704717914e-05,5.863770956349157e-05,,1800,False
2,160,320,2.233757092540145e-05,5.12994155785762e-05,,206907,False
3,160,320,2.233757092540145e-05,4.423478144843784e-05,9.730180020461809e-05,3449,True
4,160,320,3.0232742069813412e-05,0.00018960538739554167,6.050505025602999e-05,3066,False
1,320,640,8.3094968275077e-06,1.4684361005379287e-05,,1800,True
2,320,640,1.4438814417871981e-05,1.2838366527212486e-05,,206902,True
3,320,640,1.4438814417871981e-05,1.1060467160817211e-05,2.4343081821304324e-05,3449,True
4,320,640,1.6870628662957188e-05,4.7424152384234475e-05,1.511046193560087e-05,3066,True
